id;lado;sentido;autorIniciais;autorNome;projeto;nota;data;texto;empresa;usuarioId;criterios
av-001;profissional;recebida;PT;Prefeitura de Tefé;Laudo de estrutura de concreto;3.5;10/09/2026;Projeto bem detalhado, reduziu retrabalho.;sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 3.5}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 3.2}, {""rotulo"": ""Comunicação"", ""nota"": 3.7}, {""rotulo"": ""Documentação entregue"", ""nota"": 3.1}]"
av-002;profissional;recebida;AM;Amazônia Estruturas Metálicas;SPDA de centro de distribuição;5.0;17/08/2026;Recomendo: seguro nas decisões e cuidadoso com normas.;sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.9}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.9}, {""rotulo"": ""Comunicação"", ""nota"": 5.0}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.8}]"
av-003;profissional;recebida;CA;Construtora Alfa;Projeto estrutural de edifício residencial;3.5;22/07/2026;Entregou no prazo, com memorial claro e ART registrada.;sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 3.3}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 3.3}, {""rotulo"": ""Comunicação"", ""nota"": 3.7}, {""rotulo"": ""Documentação entregue"", ""nota"": 3.4}]"
av-004;profissional;recebida;MA;Maués Cooperativa Agrícola;Projeto elétrico industrial;4.5;12/06/2026;Muito técnico e disponível para reuniões.;sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.6}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.4}, {""rotulo"": ""Comunicação"", ""nota"": 4.5}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.3}]"
av-005;profissional;recebida;CN;Climatiza Norte;SPDA de centro de distribuição;5.0;12/05/2026;Resolveu um problema antigo da obra com uma solução simples.;sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.9}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.6}, {""rotulo"": ""Comunicação"", ""nota"": 5.0}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.7}]"
av-006;profissional;recebida;SE;Solimões Energia;SPDA de centro de distribuição;5.0;24/04/2026;"Bom trabalho; houve um pequeno atraso na vistoria inicial.";sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 5.0}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.7}, {""rotulo"": ""Comunicação"", ""nota"": 5.0}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.5}]"
av-007;profissional;recebida;AM;Amazônia Estruturas Metálicas;Projeto de estrutura metálica;5.0;16/03/2026;Documentação completa e ótima comunicação.;sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.8}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.9}, {""rotulo"": ""Comunicação"", ""nota"": 5.0}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.8}]"
av-008;profissional;recebida;ES;Encontro das Águas Saneamento;Usina solar de 300 kWp;5.0;05/02/2026;Muito técnico e disponível para reuniões.;sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 5.0}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.8}, {""rotulo"": ""Comunicação"", ""nota"": 4.9}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.5}]"
av-009;profissional;recebida;AA;AgroVale Amazonas;Projeto elétrico industrial;4.0;07/09/2026;Muito técnico e disponível para reuniões.;sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.2}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 3.7}, {""rotulo"": ""Comunicação"", ""nota"": 4.0}, {""rotulo"": ""Documentação entregue"", ""nota"": 3.7}]"
av-010;profissional;recebida;TE;TechSolut Engenharia;Projeto de fundação profunda;3.5;21/08/2026;Projeto bem detalhado, reduziu retrabalho.;sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 3.6}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 3.2}, {""rotulo"": ""Comunicação"", ""nota"": 3.4}, {""rotulo"": ""Documentação entregue"", ""nota"": 3.1}]"
av-011;profissional;recebida;CN;Climatiza Norte;Reforço estrutural de galpão;4.5;02/07/2026;"Bom trabalho; houve um pequeno atraso na vistoria inicial.";sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.6}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.3}, {""rotulo"": ""Comunicação"", ""nota"": 4.5}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.4}]"
av-012;profissional;recebida;ES;Encontro das Águas Saneamento;Laudo de estrutura de concreto;5.0;25/06/2026;Projeto bem detalhado, reduziu retrabalho.;sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.9}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.8}, {""rotulo"": ""Comunicação"", ""nota"": 5.0}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.7}]"
av-013;profissional;recebida;PE;Ponta Negra Empreendimentos;Fiscalização de obra vertical;5.0;02/05/2026;"Bom trabalho; houve um pequeno atraso na vistoria inicial.";sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.9}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.8}, {""rotulo"": ""Comunicação"", ""nota"": 5.0}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.9}]"
